Universal Intention Arts, Silver Thunderous Starlight Style, Evil Authority Form: Butterfly
Downward Consecutive Sevens Life Arts, Stream Style, Fury Form: Polarm
Full Mystic Skull Arts, Continuous Enemy Style, Eastern Outward Defense Form: Marquis Traversing Grove
Radiant Team Arts, Moonlit Steel Style, Cutting Nefarious Man Form: Hell of the Tearing Beasts
Virtuous Mad Thunder Arts, Bright Beggar Style, Palm Form: Five-Fold Bite Aiming Wheel
Drunken Cage Arts, Protective Malevolent Snow Style, Endless Center Form: Five-Fold Web Draining Ocean
Stunning Extinguishing Pierce Arts, Apex Fire Style, Descending Destiny Form: Giant Smoke-Aiming Moonlight
Traditional Magnanimous Bronze Sonata Arts, Grand Gust Style, Starlit Form: Stomp of Beasts
Legged Repents Arts, Tremor Style, Gentle Distinction Form: Five-Fold Lotus Twisting Rhythm
Illuminating Raptor Arts, Crimson Serene Trigrams Style, Traditional Inferno Form: Domain
Waning Motion Arts, Pinnacle Style, Final Grounded Pyrocascade Form: Swing of Flow
Ancient Paladin Arts, Pines Style, Scarlet Form: Elusive Nullification
Nefarious Taiji Arts, Soaring Parallel Wheel Style, Blazing Monkey Form: Five-Fold Absorption Coiling Eagle
Capped Sun Arts, Slicing Mindless Style, Cutting Aquatic Depth Form: Giant Emergence-Coiling Cage
Rolling Coral Massacre Arts, Ethereal Siege Style, Waning Swords Form: Triple Shadowy Blowing Warmaster
Boxing Taihua Arts, Adamantine Omnidirectional Style, Illuminating Whip Form: Pounce of the Direction
Quick Disruption Arts, Jade Triple Style, Lower Tremor Form: Five-Fold Deities Summoning Stun
Ultimate Palms Arts, Diving Quick Style, Facing Vibrant Form: Triple Shield Slicing Sanctity
Profound Spread Arts, Proud Style, Void Form: Triple Cultivation Gathering Moonbeam
Western Momentum Arts, Wild Lord Style, Single Spread Form: Dividing Thrust
Dark Virtuous Canyon Arts, Old Crossing Equal Style, Aureate Flesh Form: Five-Fold Step Ending Leaves
Malevolent Obsidian Earthly Possession Arts, Illusory Responsive Cutting Style, Bloody Qintfade Form: Elemental Illuminated Traversing Ascension
Icy Command Arts, Corrupted Bloodthristy Ascending Style, Unmatched Equal Trial Form: Five-Fold Manipulation Descending Sonata
Traversing Battle Arts, Magnanimous Explosion Style, Moonlit Ape Form: Elemental Heritage Grounding Night
Obsidian Granite Arts, Old Blessing Style, Giant Arm Form: Extinguishing Starlight Cleaving Meridian
Rising Onyx Steel Arts, Traceless Brilliant Luminous Style, Arching Spearplay Form: Heaven-Falling Formless Feather
Tearing Tigers Arts, Infernal Assimilation Style, Gentle Metal Form: Mirror Resting Fortress
Dancing Endless Dominating Phenomena Arts, Subduing Thunderbolts Style, Sacred Scriptures Form: Crane of the Tong
Finishing Basic Transformation Arts, Legged Dao Style, Bronze Stealth Form: Six Defending Technique
Giant Shaolin Arts, Mysterious Dominating Fiend Style, Smashing Move Form: Six Attacking Spiral
Foundational Karmic Arts, Unshakable Advent Style, Swords Form: Triple God Stabbing Darkwind
Outward Sonic Tide Arts, Devouring Wall Style, Resonance Form: Six Descending Consciousness
Charging Destiny Arts, Aureate Riddle Style, Shadow Devil Form: Leap of the Barrier
Formless Death Arts, Governing Sect Style, Disciple Form: Nomad of Echo
Consuming Basic Scriptures Arts, Encompassing West Style, Feral Tree Form: Five-Fold Veiled Emerging Reaper
Extra Disciple Arts, Frozen Basic Thunderous Style, Crazy Rectitude Form: Spirit Sweep Enduring Circle
Jade Cutting Enlightened Trident Arts, Spirit Sinister Style, Southern Walk Form: Unrivaled Volcano Poking Whip
Treading Fatal Metallic Tai Arts, Rebounding Elegance Style, Traceless Poisonous Nebula Form: Dual-Polar Coiling Reaper
Sudden Harmonious Aureate Point Arts, Spiraling Balanced Violent Style, Cosmic Swing Form: Book of the Fading Shura
Coastal Blaze Arts, Paladin Style, Felling Vibrant Form: Triple Fury Breaking Pinnacle
Wicked Forged Silent Arts, Vile Quick Style, Shooting Tundra Form: Empty Yang Searching Raptor
Boxing Shadow Guard Arts, Mystic Heart Style, Abyssal Style Form: Martyr
